family,query_id,previous_run_found,n_metrics_compared,n_metrics_changed,any_metric_changed,max_abs_diff,changed_metric_names,ragdefender_mean_pp_cosine_previous,ragdefender_mean_pp_cosine_new,ragdefender_mean_pp_cosine_changed,ragdefender_mean_pc_cosine_previous,ragdefender_mean_pc_cosine_new,ragdefender_mean_pc_cosine_changed,ragdefender_mean_cc_cosine_previous,ragdefender_mean_cc_cosine_new,ragdefender_mean_cc_cosine_changed,ragdefender_top_pair_pp_previous,ragdefender_top_pair_pp_new,ragdefender_top_pair_pp_changed,ragdefender_top_pair_pc_previous,ragdefender_top_pair_pc_new,ragdefender_top_pair_pc_changed,ragdefender_top_pair_cc_previous,ragdefender_top_pair_cc_new,ragdefender_top_pair_cc_changed,ragdefender_removed_poison_previous,ragdefender_removed_poison_new,ragdefender_removed_poison_changed,ragdefender_removed_clean_previous,ragdefender_removed_clean_new,ragdefender_removed_clean_changed,ragdefender_residual_poison_fraction_previous,ragdefender_residual_poison_fraction_new,ragdefender_residual_poison_fraction_changed,ragdefender_n_adv_estimated_previous,ragdefender_n_adv_estimated_new,ragdefender_n_adv_estimated_changed,filterrag_removed_poison_previous,filterrag_removed_poison_new,filterrag_removed_poison_changed,filterrag_removed_clean_previous,filterrag_removed_clean_new,filterrag_removed_clean_changed,filterrag_residual_poison_fraction_previous,filterrag_residual_poison_fraction_new,filterrag_residual_poison_fraction_changed,filterrag_mean_freq_density_poison_previous,filterrag_mean_freq_density_poison_new,filterrag_mean_freq_density_poison_changed,filterrag_mean_matched_freq_sum_poison_previous,filterrag_mean_matched_freq_sum_poison_new,filterrag_mean_matched_freq_sum_poison_changed,ml_mean_poison_probability_previous,ml_mean_poison_probability_new,ml_mean_poison_probability_changed,ml_mean_freq_density_poison_previous,ml_mean_freq_density_poison_new,ml_mean_freq_density_poison_changed,ml_mean_matched_freq_sum_poison_previous,ml_mean_matched_freq_sum_poison_new,ml_mean_matched_freq_sum_poison_changed,ml_mean_perplexity_poison_previous,ml_mean_perplexity_poison_new,ml_mean_perplexity_poison_changed,ml_mean_slm_answer_logprob_poison_previous,ml_mean_slm_answer_logprob_poison_new,ml_mean_slm_answer_logprob_poison_changed,ml_removed_poison_t035_previous,ml_removed_poison_t035_new,ml_removed_poison_t035_changed,ml_removed_clean_t035_previous,ml_removed_clean_t035_new,ml_removed_clean_t035_changed,ml_residual_poison_fraction_t035_previous,ml_residual_poison_fraction_t035_new,ml_residual_poison_fraction_t035_changed,ml_removed_poison_t04_previous,ml_removed_poison_t04_new,ml_removed_poison_t04_changed,ml_removed_clean_t04_previous,ml_removed_clean_t04_new,ml_removed_clean_t04_changed,ml_residual_poison_fraction_t04_previous,ml_residual_poison_fraction_t04_new,ml_residual_poison_fraction_t04_changed,ml_removed_poison_t05_previous,ml_removed_poison_t05_new,ml_removed_poison_t05_changed,ml_removed_clean_t05_previous,ml_removed_clean_t05_new,ml_removed_clean_t05_changed,ml_residual_poison_fraction_t05_previous,ml_residual_poison_fraction_t05_new,ml_residual_poison_fraction_t05_changed
ragdefender_targeted,5a7759fc5542993569682d60,True,29,0,False,0.0,,0.7273768782615662,0.7273768782615662,False,0.41148611545562747,0.41148611545562747,False,0.3793902561068535,0.3793902561068535,False,6.0,6,False,0.0,0,False,0.0,0,False,4.0,4,False,0.0,0,False,0.2,0.2,False,4.0,4,False,5.0,5,False,5.0,5,False,0.0,0.0,False,0.3736111111111111,0.3736111111111111,False,,,False,0.646,0.646,False,0.3736111111111111,0.3736111111111111,False,12.6,12.6,False,171.7268618001545,171.7268618001545,False,-0.7386002004146576,-0.7386002004146576,False,5.0,5,False,2.0,2,False,0.0,0.0,False,4.0,4,False,2.0,2,False,0.2,0.2,False,3.0,3,False,2.0,2,False,0.4,0.4,False
filterrag_targeted,5a7759fc5542993569682d60,True,29,0,False,0.0,,0.7290454685688019,0.7290454685688019,False,0.41720853447914125,0.41720853447914125,False,0.3793902561068535,0.3793902561068535,False,6.0,6,False,0.0,0,False,0.0,0,False,4.0,4,False,0.0,0,False,0.2,0.2,False,4.0,4,False,5.0,5,False,5.0,5,False,0.0,0.0,False,0.5358748736752738,0.5358748736752738,False,,,False,0.55,0.55,False,0.5358748736752738,0.5358748736752738,False,21.4,21.4,False,264.8983050800517,264.8983050800517,False,-4.435021334886551,-4.435021334886551,False,5.0,5,False,2.0,2,False,0.0,0.0,False,4.0,4,False,2.0,2,False,0.2,0.2,False,3.0,3,False,2.0,2,False,0.4,0.4,False
mlfilterrag_targeted,5a7759fc5542993569682d60,True,29,0,False,0.0,,0.7500882804393768,0.7500882804393768,False,0.40699570536613466,0.40699570536613466,False,0.3793902561068535,0.3793902561068535,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,5.0,5,False,5.0,5,False,0.0,0.0,False,0.3581355415482223,0.3581355415482223,False,,,False,0.704,0.704,False,0.3581355415482223,0.3581355415482223,False,10.0,10.0,False,159.00633062889472,159.00633062889472,False,-0.09892615117132664,-0.09892615117132664,False,5.0,5,False,2.0,2,False,0.0,0.0,False,5.0,5,False,2.0,2,False,0.0,0.0,False,5.0,5,False,2.0,2,False,0.0,0.0,False
ragdefender_targeted,5a8133725542995ce29dcbdb,True,29,0,False,0.0,,0.8410897433757782,0.8410897433757782,False,0.2851839224497477,0.2851839224497477,False,0.24685907860596976,0.24685907860596976,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,5.0,5,False,1.0,1,False,0.0,0.0,False,0.4318304953560371,0.4318304953560371,False,,,False,0.708,0.708,False,0.4318304953560371,0.4318304953560371,False,15.0,15.0,False,130.7001683848621,130.7001683848621,False,-0.4383372128009796,-0.4383372128009796,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,0.0,0,False,0.0,0.0,False
filterrag_targeted,5a8133725542995ce29dcbdb,True,29,0,False,0.0,,0.8643507599830628,0.8643507599830628,False,0.321496053536733,0.321496053536733,False,0.24685907860596976,0.24685907860596976,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,5.0,5,False,1.0,1,False,0.0,0.0,False,0.27026176834063587,0.27026176834063587,False,,,False,0.636,0.636,False,0.27026176834063587,0.27026176834063587,False,12.0,12.0,False,193.255093205435,193.255093205435,False,-0.24908337369561195,-0.24908337369561195,False,4.0,4,False,0.0,0,False,0.2,0.2,False,4.0,4,False,0.0,0,False,0.2,0.2,False,4.0,4,False,0.0,0,False,0.2,0.2,False
mlfilterrag_targeted,5a8133725542995ce29dcbdb,True,29,0,False,0.0,,0.8435549080371857,0.8435549080371857,False,0.292321773370107,0.292321773370107,False,0.24685907860596976,0.24685907860596976,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,5.0,5,False,1.0,1,False,0.0,0.0,False,0.3693073593073593,0.3693073593073593,False,,,False,0.646,0.646,False,0.3693073593073593,0.3693073593073593,False,10.8,10.8,False,182.15574877640364,182.15574877640364,False,-0.14749463573098182,-0.14749463573098182,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,0.0,0,False,0.0,0.0,False
ragdefender_targeted,5a8e068b5542995085b37384,True,29,0,False,0.0,,0.7282167911529541,0.7282167911529541,False,0.21406124196946621,0.21406124196946621,False,0.3014385774731636,0.3014385774731636,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,4.0,4,False,4.0,4,False,0.2,0.2,False,0.2681062994730227,0.2681062994730227,False,,,False,0.562,0.562,False,0.2681062994730227,0.2681062994730227,False,9.4,9.4,False,160.84352890235562,160.84352890235562,False,-0.3905617743730545,-0.3905617743730545,False,4.0,4,False,0.0,0,False,0.2,0.2,False,4.0,4,False,0.0,0,False,0.2,0.2,False,3.0,3,False,0.0,0,False,0.4,0.4,False
filterrag_targeted,5a8e068b5542995085b37384,True,29,0,False,0.0,,0.751458203792572,0.751458203792572,False,0.2619356125593185,0.2619356125593185,False,0.3014385774731636,0.3014385774731636,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,1.0,1,False,4.0,4,False,0.8,0.8,False,0.1837609544926618,0.1837609544926618,False,,,False,0.324,0.324,False,0.1837609544926618,0.1837609544926618,False,7.8,7.8,False,192.72286682385428,192.72286682385428,False,-0.5355767726898193,-0.5355767726898193,False,1.0,1,False,0.0,0,False,0.8,0.8,False,1.0,1,False,0.0,0,False,0.8,0.8,False,1.0,1,False,0.0,0,False,0.8,0.8,False
mlfilterrag_targeted,5a8e068b5542995085b37384,True,29,0,False,0.0,,0.7335427165031433,0.7335427165031433,False,0.2454415436834097,0.2454415436834097,False,0.3014385774731636,0.3014385774731636,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,5.0,5,False,4.0,4,False,0.0,0.0,False,0.328515406162465,0.328515406162465,False,,,False,0.726,0.726,False,0.328515406162465,0.328515406162465,False,9.8,9.8,False,156.22447866884852,156.22447866884852,False,-0.5014322757720947,-0.5014322757720947,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,4.0,4,False,0.0,0,False,0.2,0.2,False
ragdefender_targeted,5aba749055429901930fa7d8,True,29,0,False,0.0,,0.7920517444610595,0.7920517444610595,False,0.17053688183426857,0.17053688183426857,False,0.13177001290023327,0.13177001290023327,False,10.0,10,False,0.0,0,False,0.0,0,False,5.0,5,False,0.0,0,False,0.0,0.0,False,5.0,5,False,5.0,5,False,2.0,2,False,0.0,0.0,False,0.284634509671961,0.284634509671961,False,,,False,0.514,0.514,False,0.284634509671961,0.284634509671961,False,10.0,10.0,False,196.24824171012315,196.24824171012315,False,-0.9317523121833802,-0.9317523121833802,False,4.0,4,False,1.0,1,False,0.2,0.2,False,4.0,4,False,1.0,1,False,0.2,0.2,False,3.0,3,False,1.0,1,False,0.4,0.4,False
