query_id,k,condition,bundle_id,delta_ragdefender_mean_pp_cosine,delta_ragdefender_mean_pc_cosine,delta_ragdefender_mean_cc_cosine,delta_ragdefender_top_pair_pp,delta_ragdefender_top_pair_pc,delta_ragdefender_top_pair_cc,delta_ragdefender_removed_poison,delta_ragdefender_removed_clean,delta_ragdefender_residual_poison_fraction,delta_ragdefender_n_adv_estimated,delta_filterrag_removed_poison,delta_filterrag_removed_clean,delta_filterrag_residual_poison_fraction,delta_filterrag_mean_freq_density_poison,delta_filterrag_mean_matched_freq_sum_poison,delta_ml_mean_poison_probability,delta_ml_mean_freq_density_poison,delta_ml_mean_matched_freq_sum_poison,delta_ml_mean_perplexity_poison,delta_ml_mean_slm_answer_logprob_poison,delta_ml_removed_poison_t035,delta_ml_removed_clean_t035,delta_ml_residual_poison_fraction_t035,delta_ml_removed_poison_t04,delta_ml_removed_clean_t04,delta_ml_residual_poison_fraction_t04,delta_ml_removed_poison_t05,delta_ml_removed_clean_t05,delta_ml_residual_poison_fraction_t05,delta_removed_poison,delta_removed_clean,delta_residual_poison_fraction,delta_top_pair_pp,delta_mean_poison_probability,delta_freq_density,delta_matched_freq_sum
5a7759fc5542993569682d60,10,no_clean_context,gpt_b01,0.03651916980743408,0.05848276793956758,0.0,4,0,0,1,0,-0.2,1,0,0,0.0,-0.6810740782514977,,-0.058000000000000274,-0.6810740782514977,-15.399999999999999,21.523594875493202,7.684004018455743,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,-0.058000000000000274,-0.6810740782514977,
5a7759fc5542993569682d60,10,no_clean_context,gpt_b02,0.009874141216278054,0.038558120131492624,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.7032804833694712,,-0.09200000000000019,-0.7032804833694712,-15.999999999999998,60.59264200789039,7.66628481503576,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.09200000000000019,-0.7032804833694712,
5a7759fc5542993569682d60,10,no_clean_context,gpt_b03,0.04463985562324524,0.0748588889837265,0.0,4,0,0,1,0,-0.2,1,0,0,0.0,-0.6467318196572925,,-0.050000000000000266,-0.6467318196572925,-14.2,8.922142760558799,7.441877284832299,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,-0.050000000000000266,-0.6467318196572925,
5a7759fc5542993569682d60,10,clean_context,gpt_b01,-0.004464703798294112,0.026555398106575034,0.0,4,0,0,1,0,-0.2,1,0,0,0.0,-0.7076677802484256,,-0.04800000000000004,-0.7076677802484256,-15.999999999999998,25.405203878022803,7.646067814156413,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,-0.04800000000000004,-0.7076677802484256,
5a7759fc5542993569682d60,10,clean_context,gpt_b02,-0.04750002622604377,0.01664941489696503,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.7342856493092869,,-0.17800000000000016,-0.7342856493092869,-16.599999999999998,70.73341205352656,7.49143096357584,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.17800000000000016,-0.7342856493092869,
5a7759fc5542993569682d60,10,clean_context,gpt_b03,-0.015419644117355413,0.01101121962070467,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.72355798894592,,-0.07000000000000017,-0.72355798894592,-16.2,47.5748290043573,7.593745409697294,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.07000000000000017,-0.72355798894592,
5aba749055429901930fa7d8,10,no_clean_context,gpt_b01,-0.09731553792953496,-0.0215411487594247,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.24842052383699975,,0.10400000000000009,-0.24842052383699975,-6.800000000000001,3.3007176223295573,0.46318513602018363,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.10400000000000009,-0.24842052383699975,
5aba749055429901930fa7d8,10,no_clean_context,gpt_b02,-0.12663301825523376,-0.050290959738194946,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.20935155293789076,,-0.038000000000000034,-0.20935155293789076,-6.000000000000002,26.23365042700334,0.14946011006832127,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.038000000000000034,-0.20935155293789076,
5aba749055429901930fa7d8,10,no_clean_context,gpt_b03,-0.09650830626487739,-0.038354615364223715,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.29712923145797915,,-0.1359999999999999,-0.29712923145797915,-8.400000000000002,117.10708753943777,0.27235220968723306,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.1359999999999999,-0.29712923145797915,
5aba749055429901930fa7d8,10,clean_context,gpt_b01,-0.11903661489486694,-0.03434986098669471,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.2418296690492836,,0.02400000000000002,-0.2418296690492836,-6.600000000000001,37.41189722729655,0.33606239855289466,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.02400000000000002,-0.2418296690492836,
