query_id,k,retrieved_rank,doc_id,clean_text,original_filterrag_removed,original_ml_removed_t04
5ae224da554299234fd043ee,10,6,8714261,"The Gibson is a mixed drink made with gin and vermouth, and often garnished with a pickled onion. The oldest published recipe for the Gibson is found in the 1908 book, ""The World's Drinks And How To Mix Them"" by William Boothby.",True,False
5ae224da554299234fd043ee,10,7,1257175,"Zurracapote (sometimes abbreviated as zurra) is a popular Spanish alcoholic mixed drink, similar to sangría. It consists of red wine mixed with fruit such as peaches and lemons, sugar, and cinnamon. The concoction is then traditionally left to steep for several days, though some recipes call for the addition of other alcoholic beverages, juices, and fruit extracts. The result is a mild-to-medium alcoholic drink, similar to sangría.",True,False
5ae224da554299234fd043ee,10,8,13044,A gin and tonic is a highball cocktail made with gin and tonic water poured over ice. It is usually garnished with a slice or wedge of lime. The amount of gin varies according to taste. Suggested ratios of gin to tonic are between 1:1 and 1:3.,True,False
5ae224da554299234fd043ee,10,9,41404427,"Aviation American Gin is a distilled spirit first produced in Portland, Oregon by founders Christian Krogstad and Ryan Magarian in 2006. It is classified as an ""American dry gin,"" meaning the flavor profile is less juniper-forward. It is produced by House Spirits Distillery. The recipe proportions are not made public, but the seven botanicals used during distillation for flavoring are: juniper, lavender, sweet and bitter orange peel, cardamom, coriander, Indian sarsaparilla, and anise seed. Aviation American Gin is twice pot distilled and bottled at 84 proof (42% alcohol). It is currently distributed nationwide in the United States and in 15 different countries, including; Canada, Spain, U.K., Ireland, France, Russia, Italy, Germany, Holland and Australia. It was originally bottled in a wine bottle with a blue label. The new bottle looks like a flask, and is also reminiscent of the Art Deco period, with a black label and a silver cap.",True,False
5ae224da554299234fd043ee,10,10,7810411,"Absinthiana are the accoutrements surrounding the drink absinthe and its preparation. Originally, absinthe was served in standard stemmed wine or water glasses and water was added from a simple carafe. But as its popularity grew so did the variety of implements used, such as specialty glasses and complex brouilleurs. In the period since absinthe was made illegal in the US, antique dealers have seen dramatic increases in the prices of these artifacts there. Some absinthe spoons can fetch thousands of dollars. Many 19th century companies used the elaborate barware to advertise their brands. Today, many contemporary distilleries are also producing decorative branded barware for the same purpose.",True,False
5aba749055429901930fa7d8,10,6,8554400,"What do the estates of film stars Vincent Price and Glenn Ford have in common? And what do each of these estates have in common with valuables owned by Laugh-In’s Arte Johnson, Partridge Family Mom Shirley Jones, and Room 222 star Karen Valentine, along with many other Hollywood stars?",True,True
5aba749055429901930fa7d8,10,7,2547676,"Chris Menges BSC, ASC (born 15 September 1940) is an English cinematographer and film director. He is a member of both the American and British Societies of Cinematographers.",True,False
5aba749055429901930fa7d8,10,8,25196387,"Eva and Franco Mattes (both born in Italy in 1976) are a duo of artists based in New York City. Since meeting in Berlin in 1994, they have never separated. Operating under the pseudonym 0100101110101101.org, they are counted among the pioneers of the Net Art movement and are renowned for their subversion of public media. They produce art involving the ethical and political issues arising from the inception of the Internet. The work investigates the fabrication of situations, where fact and fiction merge into one. They are based in Brooklyn, New York, but also travel frequently throughout Europe and the United States.",False,False
5aba749055429901930fa7d8,10,9,10167017,Ensign Herbert Hugo Menges (born 20 January 1917) was killed during the Japanese attack on Pearl Harbor of 7 December 1941.,False,False
5aba749055429901930fa7d8,10,10,12218675,"Louis John Menges (October 30, 1888 – March 10, 1969) was an American amateur soccer player who competed in the 1904 Summer Olympics.",False,False
5ae22b8d554299234fd0440f,10,6,413284,"Peter Bolesław Schmeichel MBE (] ; born 18 November 1963) is a Danish former professional footballer who played as a goalkeeper, and was voted the IFFHS World's Best Goalkeeper in 1992 and 1993. He is best remembered for his most successful years at English club Manchester United, whom he captained to the 1999 UEFA Champions League to complete the Treble, and for winning UEFA Euro 1992 with Denmark.",True,False
5ae22b8d554299234fd0440f,10,7,20616550,Referees who participated in a World Championship (Men and/or Women) or in Olympic Handball Tournaments shall receive the Referee’s Diploma of Honour upon termination of their international career.,True,False
5ae22b8d554299234fd0440f,10,8,31878014,I was the first Coach that helped the Mouscron Redskins win the very first BAFL title in 1987...owner was Dr. PHIL,True,False
5ae22b8d554299234fd0440f,10,9,38094609,The IFFHS World's Best Goalkeeper is a football award given annually since 1987 to the most outstanding goalkeeper of the year as voted by the International Federation of Football History & Statistics (IFFHS). The votes are cast by IFFHS's editorial staff as well as experts from different continents. currently the worlds best goalkeeper from 2013-2016 is Manuel Neuer.,True,True
5ae22b8d554299234fd0440f,10,10,20615696,"The Ring of Honour may be awarded on special occasions (personal anniversary, selection as the World Handball Player of the Year, etc.) to",True,False
5a7759fc5542993569682d60,10,6,2995850,"Garajonay National Park (Spanish: ""Parque nacional de Garajonay"" , ] ) is located in the center and north of the island of La Gomera, one of the Canary Islands (Spain). It was declared a national park in 1981 and a World Heritage Site by UNESCO in 1986. It occupies 40 km (15 sq mi) and it extends into each of the six municipalities on the island.",True,False
5a7759fc5542993569682d60,10,7,10600778,"Teide National Park (Spanish: ""Parque nacional del Teide"" , ] ) is a national park located in Tenerife (Canary Islands, Spain).",True,False
5a7759fc5542993569682d60,10,8,43019251,"The low population density in the regions near the Dinira National Park and the absence of human communities within the park have definitely helped Dinira is an area with well-preserved ecosystems. The rugged terrain and lack of roads also contribute to maintaining the secluded park and, therefore, free from external problems threatening nature.",True,True
5a7759fc5542993569682d60,10,9,48943114,"Chikoy National Park (Russian: Чикой, национальный парк ) was officially created in 2014, on the mountain-steppe border region of south-central Siberia and Mongolia. It is in the Krasnochikoysky District of the Zabaykalsky (""Trans-Baikal"") administrative region of Russia. This places the park about 250 miles southeast of Lake Baikal, on the edge of the Lake Baikal ecoregion. The stated purpose for creating the park is the ""preservation of unique natural complexes in the upper reaches of the river Chikoy"". While tourism and sport fishing will be encouraged, hunting and roads will be prohibited.",True,True
5a7759fc5542993569682d60,10,10,2329693,"Corcovado National Park (Spanish: ""Parque Nacional Corcovado"" ) is a National Park on the Osa Peninsula in Osa Canton, southwestern Costa Rica (9° North, 83° West), which is part of the Osa Conservation Area. It was established on 24 October 1975, and encompasses an area of 424 km2 . It is the largest park in Costa Rica and protects about a third of the Osa Peninsula. It is widely considered the crown jewel in the extensive system of national parks and biological reserves spread across the country. The ecological variety is quite stunning. National Geographic has called it ""the most biologically intense place on Earth in terms of biodiversity"". Not only is the park very popular with tropical ecologists, a visitor can expect to see an abundance of wildlife. One should come well prepared though (see below).",True,False
5a8133725542995ce29dcbdb,10,6,504845,"Robert Erskine Childers DSC (25 June 1870 – 24 November 1922), universally known as Erskine Childers, was a British writer, whose works included the influential novel ""The Riddle of the Sands"", and a Fenian revolutionary who smuggled guns to Ireland in his sailing yacht ""Asgard"". He was executed by the authorities of the nascent Irish Free State during the Irish Civil War. He was the son of British Orientalist scholar Robert Caesar Childers; the cousin of Hugh Childers and Robert Barton; and the father of the fourth President of Ireland, Erskine Hamilton Childers.",True,False
